22,61;26
20,69;12
20,68;8
88,78;1
57,49;3
22,60;21
22,29;28
22,28;19
47,88;6
47,89;10
42,72;15
78,77;1
22,21;1
42,31;131
22,23;2
22,22;183
22,25;17
42,35;12
22,27;18
47,85;10
38,17;11
38,16;18
38,15;3
38,14;19
38,13;7
38,12;10
38,11;8
38,10;145
57,09;1
38,19;13
38,18;48
90,82;1
42,78;13
58,46;4
19,90;13
48,73;8
76,56;1
42,20;15
56,97;8
56,96;3
56,95;2
56,94;1
56,93;3
56,92;5
56,91;3
56,90;1
43,58;7
56,99;4
19,91;5
49,51;8
47,81;3
27,16;93
40,99;4
39,28;4
64,04;5
49,50;13
47,86;7
32,59;8
32,58;75
78,34;1
32,55;8
32,54;20
32,57;11
32,56;142
32,51;6
32,50;155
32,53;44
32,52;23
72,40;1
72,41;2
72,46;1
65,75;1
72,44;1
39,20;9
39,50;8
55,59;1
82,10;1
55,52;4
55,53;2
55,50;3
97,76;1
55,56;86
37,89;16
37,88;37
55,87;2
37,81;5
37,80;20
88,27;1
88,26;1
37,85;4
37,84;108
37,87;7
37,86;11
97,73;1
32,67;33
23,19;37
39,12;2
71,76;1
94,69;1
58,47;1
45,68;17
45,69;13
45,66;12
45,67;9
45,64;7
45,65;36
45,62;5
45,63;5
45,60;9
45,61;16
19,23;8
19,22;2
80,27;2
19,20;7
26,29;38
26,28;36
19,25;4
19,24;2
26,25;79
26,24;49
26,27;47
26,26;67
26,21;64
26,20;27
26,23;73
26,22;29
48,29;10
27,21;34
19,82;4
48,28;71
65,38;9
95,89;1
63,80;1
65,98;1
77,19;1
65,95;1
77,17;2
95,83;2
65,96;2
65,91;3
65,93;3
69,58;2
49,35;21
40,32;28
49,37;5
49,36;9
49,31;13
46,88;60
49,33;14
49,32;18
46,85;16
46,84;6
46,87;1
46,86;6
46,81;23
49,38;8
46,83;10
46,82;3
66,77;2
57,01;4
51,27;6
69,57;6
68,49;1
61,83;2
61,80;2
61,81;1
61,84;4
61,85;1
87,15;1
48,25;13
87,17;2
68,42;7
87,13;2
48,24;6
30,31;11
30,30;157
30,33;29
30,32;26
30,35;16
30,34;60
30,37;21
30,36;107
30,39;45
30,38;79
76,49;1
55,86;5
47,07;1
35,87;27
35,86;12
35,85;84
35,84;6
35,83;13
35,82;47
35,81;12
35,80;35
35,89;7
35,88;12
29,19;27
29,18;16
29,15;23
29,14;26
29,17;238
29,16;5
29,11;83
29,10;36
29,13;68
29,12;26
76,58;1
36,28;10
60,44;1
18,39;1
18,38;1
18,37;2
32,97;41
18,35;1
18,34;1
18,33;1
18,31;1
51,24;10
42,17;22
23,57;39
56,14;5
50,79;12
50,78;7
50,77;11
50,76;7
50,75;15
50,74;26
39,90;10
23,55;16
50,71;9
90,41;1
51,23;2
97,84;1
63,62;2
73,21;1
50,95;6
50,94;16
50,97;9
50,96;12
50,91;11
50,57;11
50,93;4
50,92;6
70,83;2
16,75;1
39,91;9
50,99;6
50,98;12
53,10;8
93,09;1
68,20;1
52,92;7
53,11;3
21,53;16
51,12;10
51,13;11
51,10;6
51,11;14
51,16;21
51,17;4
51,14;8
51,15;4
53,14;5
51,18;9
51,19;9
48,30;7
53,15;10
63,89;2
23,59;17
28,93;48
51,00;7
63,51;1
21,56;12
85,16;1
54,23;6
54,80;4
54,24;4
19,85;5
54,25;5
21,59;24
23,56;34
63,64;17
23,54;11
23,53;165
23,52;4
23,51;17
23,50;28
21,51;27
21,50;21
53,12;41
21,52;23
21,55;18
21,54;30
21,57;24
23,58;48
98,08;1
52,28;3
81,18;1
74,35;1
19,84;4
81,15;2
52,29;5
81,13;1
81,11;1
52,26;18
58,58;1
48,17;12
84,78;2
38,96;19
62,47;1
62,46;2
62,45;1
62,44;2
62,43;1
52,24;6
49,72;4
76,82;1
55,60;2
53,90;3
19,87;8
52,22;8
69,44;1
50,90;13
52,23;27
57,50;5
57,51;1
57,52;4
57,53;1
20,78;7
20,79;9
57,56;1
57,57;5
20,74;12
20,75;18
20,76;5
20,77;21
20,70;6
20,71;13
20,72;8
20,73;13
42,66;7
54,87;3
22,38;25
43,21;6
60,49;3
19,86;4
78,64;1
22,32;14
22,33;21
22,30;27
22,31;30
22,36;22
22,37;32
22,34;34
22,35;37
38,00;64
38,01;7
38,02;17
38,03;30
38,04;22
38,05;11
38,06;13
38,07;8
38,08;4
38,09;4
52,99;9
52,98;5
43,22;9
48,31;13
77,84;1
77,87;2
63,50;1
84,76;2
64,19;1
88,45;1
28,05;81
94,67;1
54,85;4
28,04;74
56,80;4
19,80;9
56,82;2
56,83;4
56,84;3
47,90;10
56,86;8
56,87;3
56,88;2
79,28;3
51,84;4
35,93;11
84,73;1
28,09;96
45,32;7
28,08;42
67,65;3
87,45;1
